Prompt,Category
"Summarize this chapter from a history textbook.",Content Summarization
"Compose a short story about a group of friends who discover a hidden portal in their hometown.",Others
"Can you write a chatbot script for a customer service website?",Chatbots and Virtual Assistants
"Create a conversation script for a job interview between a candidate and a hiring manager.",Conversation
"I'm feeling stressed about an upcoming presentation. Can you provide some tips for managing performance anxiety?",Mental health
"Generate a fantasy image of a dragon soaring through a storm.",Image Generation
"Create a short video showcasing the different features of a new smartphone.",Video Generation
"Compose a cheerful and upbeat pop song with a catchy melody.",Music Creation
"Generate a voiceover for a product advertisement promoting a new fitness tracker.",Speech Generation
"Write a podcast script discussing the latest trends in social media marketing.",Podcast Content Creation
"Create a blog post about the importance of saving money and investing for the future.",Blog Writing
"Can you recommend some podcasts about the philosophy of life?",Podcasts
"Write a short story about a sentient robot who learns about humanity.",Storytelling and Narrative Creation
"Create a social media post announcing a new online community for book lovers.",Social Media Posts
"Write a product description for a sustainable and eco-friendly clothing brand.",Product Descriptions
"Generate a list of relevant keywords for a website about digital marketing.",SEO Optimization
"Analyze the current trends in the electric vehicle market.",Market Analysis
"Translate this recipe from English to Chinese: 'Chicken stir-fry with vegetables'.",Translation
"Write a code snippet to create a simple mobile game.",Coding and Programming Assistance
